AÑO,MES,DIA,FECHA,HORA,KW-H
2015,1,jueves,1,0,3200
2015,1,jueves,1,1,3200
2015,1,jueves,1,2,2400
2015,1,jueves,1,3,2400
2015,1,jueves,1,4,2400
2015,1,jueves,1,5,2400
2015,1,jueves,1,6,2400
2015,1,jueves,1,7,2400
2015,1,jueves,1,8,2400
2015,1,jueves,1,9,2600
2015,1,jueves,1,10,2600
2015,1,jueves,1,11,2600
2015,1,jueves,1,12,2600
2015,1,jueves,1,13,2600
2015,1,jueves,1,14,2600
2015,1,jueves,1,15,2600
2015,1,jueves,1,16,2600
2015,1,jueves,1,17,2300
2015,1,jueves,1,18,2300
2015,1,jueves,1,19,2300
2015,1,jueves,1,20,2300
2015,1,jueves,1,21,2400
2015,1,jueves,1,22,2400
2015,1,jueves,1,23,2400
2015,1,viernes,2,0,2400
2015,1,viernes,2,1,2400
2015,1,viernes,2,2,2400
2015,1,viernes,2,3,2400
2015,1,viernes,2,4,2200
2015,1,viernes,2,5,2200
2015,1,viernes,2,6,2200
2015,1,viernes,2,7,2200
2015,1,viernes,2,8,2200
2015,1,viernes,2,9,2200
2015,1,viernes,2,10,2200
2015,1,viernes,2,11,2200
2015,1,viernes,2,12,2200
2015,1,viernes,2,13,3100
2015,1,viernes,2,14,3400
2015,1,viernes,2,15,3400
2015,1,viernes,2,16,3400
2015,1,viernes,2,17,3300
2015,1,viernes,2,18,3700
2015,1,viernes,2,19,3700
2015,1,viernes,2,20,3700
2015,1,viernes,2,21,3700
2015,1,viernes,2,22,2900
2015,1,viernes,2,23,2700
2015,1,sábado,3,0,2500
2015,1,sábado,3,1,2500
2015,1,sábado,3,2,3600
2015,1,sábado,3,3,3600
2015,1,sábado,3,4,3600
2015,1,sábado,3,5,3600
2015,1,sábado,3,6,3600
2015,1,sábado,3,7,3600
2015,1,sábado,3,8,2800
2015,1,sábado,3,9,2400
2015,1,sábado,3,10,2000
2015,1,sábado,3,11,2200
2015,1,sábado,3,12,2200
2015,1,sábado,3,13,2200
2015,1,sábado,3,14,2200
2015,1,sábado,3,15,2300
2015,1,sábado,3,16,2000
2015,1,sábado,3,17,2500
2015,1,sábado,3,18,2500
2015,1,sábado,3,19,2700
2015,1,sábado,3,20,2700
2015,1,sábado,3,21,2700
2015,1,sábado,3,22,2700
2015,1,sábado,3,23,2700
2015,1,domingo,4,0,2000
2015,1,domingo,4,1,2000
2015,1,domingo,4,2,2000
2015,1,domingo,4,3,2000
2015,1,domingo,4,4,2000
2015,1,domingo,4,5,2000
2015,1,domingo,4,6,2300
2015,1,domingo,4,7,2500
2015,1,domingo,4,8,2200
2015,1,domingo,4,9,2200
2015,1,domingo,4,10,2300
2015,1,domingo,4,11,2300
2015,1,domingo,4,12,2300
2015,1,domingo,4,13,2300
2015,1,domingo,4,14,3000
2015,1,domingo,4,15,3600
2015,1,domingo,4,16,3600
2015,1,domingo,4,17,3600
2015,1,domingo,4,18,3200
2015,1,domingo,4,19,4000
2015,1,domingo,4,20,4000
2015,1,domingo,4,21,3400
2015,1,domingo,4,22,2600
2015,1,domingo,4,23,2600
2015,1,lunes,5,0,2600
2015,1,lunes,5,1,2600
2015,1,lunes,5,2,2600
2015,1,lunes,5,3,2600
2015,1,lunes,5,4,2600
2015,1,lunes,5,5,2600
2015,1,lunes,5,6,3400
2015,1,lunes,5,7,3400
2015,1,lunes,5,8,3400
2015,1,lunes,5,9,3200
2015,1,lunes,5,10,2500
2015,1,lunes,5,11,2600
2015,1,lunes,5,12,2600
2015,1,lunes,5,13,3000
2015,1,lunes,5,14,3400
2015,1,lunes,5,15,3400
2015,1,lunes,5,16,2400
2015,1,lunes,5,17,2400
2015,1,lunes,5,18,3000
2015,1,lunes,5,19,3400
2015,1,lunes,5,20,3400
2015,1,lunes,5,21,3400
2015,1,lunes,5,22,2600
2015,1,lunes,5,23,2600
2015,1,martes,6,0,2600
2015,1,martes,6,1,2600
2015,1,martes,6,2,2600
2015,1,martes,6,3,2600
2015,1,martes,6,4,2600
2015,1,martes,6,5,2600
2015,1,martes,6,6,2600
2015,1,martes,6,7,3400
2015,1,martes,6,8,3400
2015,1,martes,6,9,3500
2015,1,martes,6,10,1800
2015,1,martes,6,11,1900
2015,1,martes,6,12,1800
2015,1,martes,6,13,1800
2015,1,martes,6,14,1800
2015,1,martes,6,15,2000
2015,1,martes,6,16,2100
2015,1,martes,6,17,2100
2015,1,martes,6,18,2100
2015,1,martes,6,19,3000
2015,1,martes,6,20,3000
2015,1,martes,6,21,3000
2015,1,martes,6,22,3000
2015,1,martes,6,23,3000
2015,1,miercoles,7,0,2800
2015,1,miercoles,7,1,2000
2015,1,miercoles,7,2,2000
2015,1,miercoles,7,3,2000
2015,1,miercoles,7,4,2000
2015,1,miercoles,7,5,2000
2015,1,miercoles,7,6,3200
2015,1,miercoles,7,7,3200
2015,1,miercoles,7,8,3500
2015,1,miercoles,7,9,2800
2015,1,miercoles,7,10,2000
2015,1,miercoles,7,11,2000
2015,1,miercoles,7,12,2000
2015,1,miercoles,7,13,2000
2015,1,miercoles,7,14,1900
2015,1,miercoles,7,15,1900
2015,1,miercoles,7,16,2000
2015,1,miercoles,7,17,2400
2015,1,miercoles,7,18,2400
2015,1,miercoles,7,19,3100
2015,1,miercoles,7,20,3100
2015,1,miercoles,7,21,3100
2015,1,miercoles,7,22,2400
2015,1,miercoles,7,23,2400
2015,1,jueves,8,0,2200
2015,1,jueves,8,1,2300
2015,1,jueves,8,2,2300
2015,1,jueves,8,3,2300
2015,1,jueves,8,4,2300
2015,1,jueves,8,5,2300
2015,1,jueves,8,6,3200
2015,1,jueves,8,7,3300
2015,1,jueves,8,8,3800
2015,1,jueves,8,9,4100
2015,1,jueves,8,10,1800
2015,1,jueves,8,11,1800
2015,1,jueves,8,12,1800
2015,1,jueves,8,13,1900
2015,1,jueves,8,14,2400
2015,1,jueves,8,15,3300
2015,1,jueves,8,16,3100
2015,1,jueves,8,17,2400
2015,1,jueves,8,18,2400
2015,1,jueves,8,19,3200
2015,1,jueves,8,20,3200
2015,1,jueves,8,21,3200
2015,1,jueves,8,22,2200
2015,1,jueves,8,23,2200
2015,1,viernes,9,0,2200
2015,1,viernes,9,1,2200
2015,1,viernes,9,2,2200
2015,1,viernes,9,3,2200
2015,1,viernes,9,4,2200
2015,1,viernes,9,5,2200
2015,1,viernes,9,6,2600
2015,1,viernes,9,7,2800
2015,1,viernes,9,8,2700
2015,1,viernes,9,9,2000
2015,1,viernes,9,10,2000
2015,1,viernes,9,11,2000
2015,1,viernes,9,12,3500
2015,1,viernes,9,13,3800
2015,1,viernes,9,14,3800
2015,1,viernes,9,15,4000
2015,1,viernes,9,16,3800
2015,1,viernes,9,17,3800
2015,1,viernes,9,18,3800
2015,1,viernes,9,19,4200
2015,1,viernes,9,20,4200
2015,1,viernes,9,21,4200
2015,1,viernes,9,22,4200
2015,1,viernes,9,23,4200
2015,1,sábado,10,0,4200
2015,1,sábado,10,1,2500
2015,1,sábado,10,2,2500
2015,1,sábado,10,3,2500
2015,1,sábado,10,4,2500
2015,1,sábado,10,5,2500
2015,1,sábado,10,6,2500
2015,1,sábado,10,7,2500
2015,1,sábado,10,8,2500
2015,1,sábado,10,9,2100
2015,1,sábado,10,10,2100
2015,1,sábado,10,11,2100
2015,1,sábado,10,12,2200
2015,1,sábado,10,13,3000
2015,1,sábado,10,14,3000
2015,1,sábado,10,15,3000
2015,1,sábado,10,16,3000
2015,1,sábado,10,17,2700
2015,1,sábado,10,18,2400
2015,1,sábado,10,19,3400
2015,1,sábado,10,20,3500
2015,1,sábado,10,21,3500
2015,1,sábado,10,22,2200
