,AÑO,MES,DIA,FECHA,HORA,KW-H,HORA-FECHA
35657,2019,1,viernes,25,17,2600.0,17 viernes
35681,2019,1,sábado,26,17,2200.0,17 sábado
35705,2019,1,domingo,27,17,2100.0,17 domingo
35729,2019,1,lunes,28,17,2400.0,17 lunes
35753,2019,1,martes,29,17,2400.0,17 martes
35777,2019,1,miércoles,30,17,3400.0,17 miércoles
35801,2019,1,jueves,31,17,2700.0,17 jueves
35658,2019,1,viernes,25,18,2600.0,18 viernes
35682,2019,1,sábado,26,18,2200.0,18 sábado
35706,2019,1,domingo,27,18,2100.0,18 domingo
35730,2019,1,lunes,28,18,2400.0,18 lunes
35754,2019,1,martes,29,18,2400.0,18 martes
35778,2019,1,miércoles,30,18,3300.0,18 miércoles
35802,2019,1,jueves,31,18,2600.0,18 jueves
35659,2019,1,viernes,25,19,3200.0,19 viernes
35683,2019,1,sábado,26,19,3400.0,19 sábado
35707,2019,1,domingo,27,19,2100.0,19 domingo
35731,2019,1,lunes,28,19,2400.0,19 lunes
35755,2019,1,martes,29,19,2400.0,19 martes
35779,2019,1,miércoles,30,19,3700.0,19 miércoles
35803,2019,1,jueves,31,19,3300.0,19 jueves
35660,2019,1,viernes,25,20,3200.0,20 viernes
35684,2019,1,sábado,26,20,3400.0,20 sábado
35708,2019,1,domingo,27,20,2100.0,20 domingo
35732,2019,1,lunes,28,20,2400.0,20 lunes
35756,2019,1,martes,29,20,2400.0,20 martes
35780,2019,1,miércoles,30,20,3700.0,20 miércoles
35804,2019,1,jueves,31,20,3300.0,20 jueves
35661,2019,1,viernes,25,21,3200.0,21 viernes
35685,2019,1,sábado,26,21,3400.0,21 sábado
35709,2019,1,domingo,27,21,2100.0,21 domingo
35733,2019,1,lunes,28,21,2400.0,21 lunes
35757,2019,1,martes,29,21,2400.0,21 martes
35781,2019,1,miércoles,30,21,3800.0,21 miércoles
35805,2019,1,jueves,31,21,3400.0,21 jueves
35662,2019,1,viernes,25,22,3200.0,22 viernes
35686,2019,1,sábado,26,22,3400.0,22 sábado
35710,2019,1,domingo,27,22,2100.0,22 domingo
35734,2019,1,lunes,28,22,2400.0,22 lunes
35758,2019,1,martes,29,22,2400.0,22 martes
35782,2019,1,miércoles,30,22,4000.0,22 miércoles
35806,2019,1,jueves,31,22,3600.0,22 jueves
35663,2019,1,viernes,25,23,2800.0,23 viernes
35687,2019,1,sábado,26,23,2800.0,23 sábado
35711,2019,1,domingo,27,23,2200.0,23 domingo
35735,2019,1,lunes,28,23,2400.0,23 lunes
35759,2019,1,martes,29,23,2400.0,23 martes
35783,2019,1,miércoles,30,23,4000.0,23 miércoles
35807,2019,1,jueves,31,23,2600.0,23 jueves
