,AÑO,MES,DIA,FECHA,HORA,KW-H
35784,2019,1,jueves,31,0,3600.0
35785,2019,1,jueves,31,1,3600.0
35786,2019,1,jueves,31,2,3600.0
35787,2019,1,jueves,31,3,3600.0
35788,2019,1,jueves,31,4,2800.0
35789,2019,1,jueves,31,5,2800.0
35790,2019,1,jueves,31,6,2600.0
35791,2019,1,jueves,31,7,2600.0
35792,2019,1,jueves,31,8,2700.0
35793,2019,1,jueves,31,9,3200.0
35794,2019,1,jueves,31,10,2400.0
35795,2019,1,jueves,31,11,2300.0
35796,2019,1,jueves,31,12,2200.0
35797,2019,1,jueves,31,13,2000.0
35798,2019,1,jueves,31,14,2200.0
35799,2019,1,jueves,31,15,2900.0
35800,2019,1,jueves,31,16,2700.0
35801,2019,1,jueves,31,17,2700.0
35802,2019,1,jueves,31,18,2600.0
35803,2019,1,jueves,31,19,3300.0
35804,2019,1,jueves,31,20,3300.0
35805,2019,1,jueves,31,21,3400.0
35806,2019,1,jueves,31,22,3600.0
35807,2019,1,jueves,31,23,2600.0
